"","STRUCTURE_NUMBER_008","YEAR_BUILT_027","COUNTY_CODE_003","DECK_COND_058","LAT_016","LONG_017","TOTAL_IMP_COST_096"
"113","B01001600000000",1989,1,"7",44003772,89572357,0
"114","B01001700000000",1993,1,"6",43583023,89490103,0
"115","B01001800000000",1991,1,"8",43550204,89561564,0
"116","B01001900000000",1997,1,"7",43514180,89401138,0
"117","B01002000000000",1997,1,"7",43392802,89464196,0
"118","B01002100000000",1999,1,"8",44064282,89452328,0
"119","B01002200000000",2001,1,"7",44001491,89475167,0
"120","B01002300000000",2003,1,"8",43493241,89523671,0
"121","B01002500000000",2005,1,"8",44101546,89392905,0
"122","B01002800000000",2006,1,"7",44101320,89414910,0
"123","B01002900000000",2006,1,"7",44101346,89410456,0
"124","B01003000000000",2009,1,"7",43520032,89570544,0
"125","B01003100000000",2013,1,"9",44102962,89370325,0
"126","B01003200000000",2010,1,"8",44025140,90002260,0
"127","B01003300000000",2012,1,"7",44033444,89481877,0
"128","B01003400000000",2013,1,"8",44012996,89475584,0
"129","B01003600000000",1937,1,"7",43595311,89484421,0
"130","B01032500000000",1950,1,"6",44015080,89531643,0
"131","B01053700000000",1957,1,"N",44121445,89482919,0
"132","B02000400000000",1955,3,"5",46263474,90532193,0
"133","B02000500000000",1960,3,"6",46363794,90411587,0
"134","B02000600000000",1961,3,"6",46364415,90414613,0
"135","B02000700000000",1948,3,"6",45594740,90512990,0
"136","B02000800000000",1949,3,"8",46065091,90530086,0
"137","B02000900000000",1964,3,"5",46191657,90390712,0
"138","B02001000000000",1956,3,"6",46041569,90514072,0
"139","B02001100000000",1969,3,"N",46354800,90522400,0
"140","B02001200000000",1971,3,"7",46253338,90490712,0
"141","B02001300000000",1971,3,"7",46244693,90482744,0
"142","B02001400000000",1976,3,"5",46363306,90453819,0
"143","B02001500000000",1975,3,"7",46192567,90392753,0
"144","B02001600000000",1976,3,"7",46242508,90484109,0
"145","B02001700000000",1976,3,"7",46004040,90293090,0
"146","B02001800000000",1976,3,"7",46242586,90462527,0
"147","B02001900000000",1977,3,"7",46005405,90292598,0
"148","B02002000000000",1978,3,"7",46010927,90291713,0
"149","B02002200000000",1980,3,"N",46353978,90391748,0
