"","STRUCTURE_NUMBER_008","YEAR_BUILT_027","COUNTY_CODE_003","DECK_COND_058","LAT_016","LONG_017","TOTAL_IMP_COST_096"
"2196","B37016300000000",1974,73,"N",45060072,89380926,0
"2197","B37016400000000",1974,73,"N",45060078,89381270,0
"2198","B37016500000000",1974,73,"6",45061575,89380943,0
"2199","B37016600000000",1974,73,"6",45061684,89381205,0
"2200","B37016700000000",1974,73,"N",44594671,89392574,0
"2201","B37016800000000",1974,73,"N",44594171,89391935,0
"2202","B37017000000000",1984,73,"7",44415965,90035521,0
"2203","B37017100000000",1975,73,"4",44481422,90005218,1870
"2204","B37017300000000",1976,73,"6",44461835,90150718,0
"2205","B37017400000000",1979,73,"5",44550565,89330745,0
"2206","B37017500000000",1979,73,"4",44575234,89293044,566
"2207","B37017600000000",1981,73,"7",44565398,89371209,985
"2208","B37017700000000",1989,73,"6",44533926,89342046,1610
"2209","B37017800000000",1989,73,"6",44533954,89321227,0
"2210","B37017900000000",1990,73,"7",44532784,89295986,0
"2211","B37018000000000",1990,73,"6",44532915,89295872,0
"2212","B37018100000000",1990,73,"8",44530067,89252505,0
"2213","B37018200000000",1990,73,"8",44530197,89252353,0
"2214","B37018300000000",1989,73,"N",44474752,90182941,0
"2215","B37018400000000",1989,73,"7",44503331,90185695,0
"2216","B37018500000000",1989,73,"6",44531984,90185477,0
"2217","B37018700000000",1980,73,"7",44423986,89415509,0
"2218","B37018800000000",1981,73,"5",44542167,89272975,0
"2219","B37018900000000",1982,73,"6",45043142,89363221,0
"2220","B37019000000000",1982,73,"7",44434298,90020325,0
"2221","B37019100000000",1984,73,"7",44573644,90142192,526
"2222","B37019200000000",1983,73,"8",44554186,89183342,0
"2223","B37019300000000",1984,73,"7",44475741,90153331,0
"2224","B37019400000000",1982,73,"7",45030269,90055745,0
"2225","B37019500000000",1982,73,"7",45045809,89361420,0
"2226","B37019600000000",1982,73,"6",44521591,89212739,0
"2227","B37019700000000",1985,73,"4",44573886,89415306,912
"2228","B37019800000000",1982,73,"7",44545841,90134610,0
"2229","B37019900000000",1984,73,"5",45010017,89461428,0
"2230","B37020000000000",1982,73,"7",45061446,89382486,0
"2231","B37020100000000",1982,73,"7",44564542,90163734,0
"2232","B37020200000000",1982,73,"7",44564539,90151879,0
"2233","B37020300000000",1983,73,"5",44573913,89375858,3427
"2234","B37020400000000",1983,73,"6",44573092,89302905,0
"2235","B37020500000000",1984,73,"6",45020153,90041107,0
"2236","B37020600000000",1984,73,"6",44480676,89405600,0
"2237","B37020700000000",1983,73,"7",44512335,89212514,0
"2238","B37020800000000",1985,73,"7",45034187,89503895,0
"2239","B37020900000000",1985,73,"7",45052085,89483206,0
"2240","B37021000000000",1985,73,"6",45025003,89500106,0
"2241","B37021100000000",1985,73,"N",45024992,89502042,0
"2242","B37021200000000",1985,73,"8",44592056,90161336,0
"2243","B37021300000000",1985,73,"7",44555070,89514880,0
"2244","B37021400000000",1985,73,"7",44555020,89491549,0
"2245","B37021500000000",1985,73,"7",45010035,89265928,0
"2246","B37021600000000",1985,73,"7",44503104,89212886,0
"2247","B37021700000000",1989,73,"N",45021189,89401845,0
"2248","B37021800000000",1984,73,"7",44415920,89382857,0
"2249","B37021900000000",1987,73,"6",44571894,89414490,1140
"2250","B37022000000000",1986,73,"7",44591066,89370730,0
"2251","B37022100000000",1989,73,"7",45063180,89141788,0
"2252","B37022200000000",1986,73,"6",44540661,89550610,0
"2253","B37022300000000",1984,73,"N",45041110,89503978,0
"2254","B37022400000000",1989,73,"7",44555602,89553396,0
"2255","B37022500000000",1986,73,"N",45034201,89445501,0
"2256","B37022600000000",1986,73,"7",44471060,89514435,0
"2257","B37022700000000",1986,73,"N",44540843,90184128,0
"2258","B37022800000000",1989,73,"7",45043453,89572234,0
"2259","B37022900000000",1966,73,"N",44445788,90044552,0
"2260","B37023000000000",2004,73,"7",45043360,89472646,0
"2261","B37023100000000",2003,73,"7",44591544,89425338,0
"2262","B37023200000000",1987,73,"7",44581012,89375812,0
"2263","B37023300000000",1986,73,"N",45024992,89541357,0
"2264","B37023400000000",1989,73,"7",44415663,89263920,0
"2265","B37023500000000",1989,73,"7",44441030,89253332,0
"2266","B37023600000000",1991,73,"N",45001212,89313096,0
"2267","B37023700000000",1968,73,"N",44443417,90034464,0
"2268","B37023800000000",1987,73,"7",44485941,89143946,0
"2269","B37023900000000",1989,73,"7",44560558,89502421,1253
"2270","B37024000000000",1989,73,"7",44561038,89502413,1249
"2271","B37024100000000",1990,73,"7",45023742,89401873,0
"2272","B37024200000000",1990,73,"7",44561154,90152932,0
"2273","B37024300000000",1990,73,"6",44555099,90150318,0
"2274","B37024400000000",1991,73,"7",44485430,90163365,0
"2275","B37024500000000",1991,73,"N",45021924,89253932,0
"2276","B37024600000000",1991,73,"7",45023324,89494331,0
"2277","B37024700000000",1991,73,"7",45034158,89474178,255
"2278","B37024800000000",1995,73,"7",44491575,90044443,0
"2279","B37024900000000",1991,73,"7",44582774,89310118,0
"2280","B37025000000000",1996,73,"7",44445113,89534532,0
"2281","B37025100000000",1993,73,"5",44481016,89530929,0
"2282","B37025200000000",1991,73,"7",44410673,89154663,0
"2283","B37025300000000",1992,73,"6",45050140,89371413,0
"2284","B37025400000000",1992,73,"7",45010358,90135399,0
"2285","B37025500000000",1992,73,"8",44410601,90001807,0
"2286","B37025600000000",1992,73,"7",45034261,89572311,0
"2287","B37025700000000",1992,73,"7",44501174,89220044,0
"2288","B37025800000000",1992,73,"8",44493240,89515652,0
"2289","B37025900000000",1993,73,"7",44494626,90175034,0
"2290","B37026000000000",1993,73,"7",45043430,89544198,0
"2291","B37026100000000",1993,73,"7",45061830,89584256,0
"2292","B37026200000000",1993,73,"7",45003101,89242134,0
"2293","B37026300000000",1993,73,"7",45055158,89253743,0
"2294","B37026400000000",1991,73,"7",44414575,89154086,0
"2295","B37026500000000",1993,73,"7",45061647,89340924,0
"2296","B37026600000000",1997,73,"7",44573795,89380625,0
"2297","B37026700000000",1997,73,"7",44461840,90124286,0
"2298","B37026800000000",1995,73,"7",44453489,89440403,0
"2299","B37026900000000",1995,73,"7",45033074,89161391,0
"2300","B37027000000000",1995,73,"7",44572003,89280952,0
"2301","B37027100000000",1995,73,"7",45020186,89261656,0
"2302","B37027200000000",1995,73,"5",44503290,89345729,0
"2303","B37027300000000",1996,73,"7",44573683,89380564,0
"2304","B37027400000000",1995,73,"6",44525377,89204805,0
"2305","B37027500000000",1998,73,"7",44563804,90172219,0
"2306","B37027600000000",2003,73,"N",44424181,90185958,0
"2307","B37027700000000",1997,73,"7",44434535,89321881,0
"2308","B37027800000000",1997,73,"7",45015895,89475393,0
"2309","B37027900000000",1997,73,"7",44594214,89265558,0
"2310","B37028000000000",1997,73,"6",44545784,89364051,0
"2311","B37028100000000",1999,73,"N",44564326,90123468,0
"2312","B37028200000000",1999,73,"7",44564375,90093801,0
"2313","B37028300000000",1997,73,"N",44564347,89574989,0
"2314","B37028400000000",1998,73,"7",44564418,90163687,0
"2315","B37028500000000",1998,73,"7",44564417,90152110,0
"2316","B37028600000000",1998,73,"7",44564240,90093920,0
"2317","B37028700000000",1999,73,"6",44564173,90044479,0
"2318","B37028800000000",1997,73,"6",44563873,89574988,0
"2319","B37028900000000",1998,73,"7",44555788,90190025,0
"2320","B37029000000000",1998,73,"7",44555920,90185774,0
"2321","B37029100000000",1999,73,"N",45012619,90044290,0
"2322","B37029200000000",1999,73,"6",44563931,89570675,0
"2323","B37029300000000",1998,73,"7",44564057,89570690,0
"2324","B37029400000000",1998,73,"N",44555702,90181351,0
"2325","B37029500000000",2011,73,"7",44554060,89342020,0
"2326","B37029600000000",2000,73,"7",44550052,90180517,0
"2327","B37029700000000",2000,73,"7",44415957,89350330,0
"2328","B37029800000000",1999,73,"7",44435047,89471961,0
"2329","B37029900000000",2000,73,"7",44594084,89595335,0
"2330","B37030100000000",1998,73,"N",44471045,89341251,0
"2331","B37030200000000",1998,73,"7",44540679,90052311,0
"2332","B37030300000000",1997,73,"7",45025955,89155197,0
"2333","B37030400000000",1998,73,"7",44485464,89585582,0
"2334","B37030500000000",1999,73,"7",44471096,89275006,0
"2335","B37030600000000",2001,73,"7",44480254,90000276,0
"2336","B37030700000000",2001,73,"7",44480291,89522164,0
"2337","B37030800000000",2001,73,"7",44480268,89515349,0
"2338","B37030900000000",1998,73,"7",44563777,89292973,0
"2339","B37031000000000",2000,73,"6",44550769,89575002,0
"2340","B37031100000000",2000,73,"7",44540687,90113376,0
"2341","B37031200000000",2000,73,"8",44475487,89515931,0
"2342","B37031300000000",2000,73,"7",44591693,89384488,0
"2343","B37031400000000",2000,73,"6",44572972,89395280,0
"2344","B37031500000000",2001,73,"7",44473762,89463837,0
"2345","B37031700000000",2001,73,"N",44480297,90043066,0
"2346","B37031800000000",2002,73,"7",45015544,89280386,0
"2347","B37031900000000",2002,73,"7",45015409,89270042,0
"2348","B37032000000000",2002,73,"7",45014679,89181092,0
"2349","B37032100000000",1937,73,"4",44440636,90071066,356
"2350","B37032200000000",2002,73,"8",44463135,89351014,0
"2351","B37032300000000",2001,73,"7",44455582,90001633,0
"2352","B37032400000000",2003,73,"7",44513085,90063555,0
"2353","B37032500000000",2002,73,"8",44425059,89583386,0
"2354","B37032600000000",2003,73,"6",45021527,89182069,0
"2355","B37032700000000",2002,73,"7",45000353,89220659,0
"2356","B37032800000000",2002,73,"7",45014608,89143459,0
"2357","B37033000000000",2004,73,"7",44480266,90154730,0
"2358","B37033100000000",2003,73,"7",44562332,89304457,0
"2359","B37033200000000",2002,73,"7",44522251,90061333,0
"2360","B37033300000000",2002,73,"7",44572912,89541978,0
"2361","B37033400000000",2001,73,"8",45005203,90141573,0
"2362","B37033500000000",2004,73,"7",44562334,89391814,0
"2363","B37033700000000",2006,73,"7",44533570,89382570,0
"2364","B37033800000000",2006,73,"7",44534690,89381650,0
"2365","B37033900000000",2006,73,"7",44534990,89382780,0
"2366","B37034000000000",2005,73,"7",44544125,89390154,0
"2367","B37034100000000",2005,73,"7",44544132,89390343,0
"2368","B37034200000000",2005,73,"7",44555026,89395044,1409
"2369","B37034300000000",2006,73,"7",44555880,89395400,0
"2370","B37034400000000",2008,73,"7",44564542,89400027,0
"2371","B37034500000000",2006,73,"7",44564542,89400027,0
"2372","B37034600000000",2007,73,"8",44570590,89395880,0
"2373","B37034700000000",2007,73,"7",44570590,89400110,0
"2374","B37034800000000",2007,73,"7",44571150,89395920,0
"2375","B37034900000000",2007,73,"8",44571270,89400140,0
"2376","B37035000000000",2009,73,"7",44572830,89395770,0
"2377","B37035100000000",2007,73,"6",44572980,89395850,0
"2378","B37035200000000",2008,73,"7",44573790,89394760,0
"2379","B37035300000000",2007,73,"7",44573970,89394740,0
"2380","B37035400000000",2012,73,"8",44572870,89395590,0
"2381","B37035500000000",2008,73,"7",44571310,89401630,0
"2382","B37035600000000",2008,73,"7",44571430,89401390,0
"2383","B37035700000000",2008,73,"7",44571140,89401030,0
"2384","B37035900000000",2008,73,"8",44570790,89400520,0
"2385","B37036000010000",2008,73,"7",44571230,89400700,0
"2386","B37036000020000",2008,73,"8",44570760,89400190,5547
"2387","B37036000030000",2008,73,"7",44570170,89395730,0
"2388","B37036100000000",2007,73,"5",44571350,89403720,0
"2389","B37036200010000",2010,73,"8",44571200,89403070,0
"2390","B37036200020000",2010,73,"8",44571660,89400340,0
"2391","B37036300000000",2008,73,"7",44573970,89394830,0
"2392","B37036400000000",2008,73,"7",44573710,89395320,0
"2393","B37036500000000",2008,73,"7",44572940,89400060,0
"2394","B37036600000000",2008,73,"7",44571850,89400860,0
"2395","B37036700000000",2006,73,"7",44581000,89392350,0
"2396","B37036800000000",2003,73,"7",44534795,89553568,0
"2397","B37036900000000",2005,73,"7",45065596,90055840,0
"2398","B37037000000000",2007,73,"6",44571480,89403140,0
"2399","B37037100000000",2010,73,"7",44572860,89395670,0
"2400","B37037200000000",2007,73,"7",44572970,89395960,0
"2401","B37037300000000",2005,73,"7",44563990,89400170,0
"2402","B37037600000000",2002,73,"7",44461569,90130861,0
"2403","B37037700000000",2005,73,"7",44525269,89203811,0
"2404","B37037800000000",2005,73,"7",44525291,89204793,0
"2405","B37037900000000",2005,73,"8",44501196,89390324,0
"2406","B37038000000000",2004,73,"8",44414671,90044590,0
"2407","B37038100000000",2005,73,"7",44520700,89381050,0
"2408","B37038200000000",2005,73,"8",45043457,89551787,0
"2409","B37038300000000",2006,73,"7",45000725,89260942,0
"2410","B37038400000000",2006,73,"8",45001000,89275500,0
"2411","B37038500000000",2005,73,"8",44462030,89282290,0
"2412","B37038600000000",2005,73,"7",44414970,90055830,0
"2413","B37038700000000",2006,73,"7",44411390,90044590,0
"2414","B37038800000000",2006,73,"7",44570220,89372670,0
"2415","B37038900000000",2003,73,"7",44452601,90075478,0
"2416","B37039000000000",2005,73,"8",44471016,89584067,0
"2417","B37039100000000",2006,73,"7",45001177,90134552,0
"2418","B37039300000000",2005,73,"7",44442497,90093881,0
"2419","B37039600000000",2012,73,"7",44514830,89382820,0
"2420","B37039700000000",2013,73,"8",44514957,89383110,0
"2421","B37039800000000",2007,73,"7",44591490,89434600,0
"2422","B37040000000000",2006,73,"7",44482950,89402520,0
"2423","B37040100000000",2008,73,"7",45044960,89564790,0
"2424","B37040200000000",2009,73,"7",44575860,89234990,0
"2425","B37040300000000",2007,73,"7",44540770,90164180,0
"2426","B37040400000000",2008,73,"7",44563510,89192930,0
"2427","B37040500000000",2007,73,"7",45051390,89150880,0
"2428","B37040600000000",2009,73,"7",45051452,89172000,0
"2429","B37040700000000",2008,73,"7",44503780,89384750,0
"2430","B37040800000000",2013,73,"8",44563834,89470576,0
"2431","B37040900000000",2009,73,"8",44545850,89592850,0
"2432","B37041000000000",2009,73,"7",44545881,90023653,0
"2433","B37041100000000",2008,73,"7",44580820,89265658,0
"2434","B37041200000000",2008,73,"7",45014084,90041894,0
"2435","B37041300000000",2008,73,"N",44514638,90175616,0
"2436","B37041400000000",2008,73,"7",44531980,90104790,0
"2437","B37041500000000",2009,73,"7",45051997,90001752,0
"2438","B37041600000000",2010,73,"7",45024917,89470855,0
"2439","B37041700000000",2009,73,"7",44482822,89402957,0
"2440","B37041800000000",2009,73,"7",44482960,89403075,0
"2441","B37041900000000",2009,73,"7",45052650,89575860,0
"2442","B37042000000000",2012,73,"7",44484030,89402250,0
"2443","B37042100000000",2011,73,"7",44524801,89383500,0
"2444","B37042300000000",2011,73,"7",44531572,89203740,0
"2445","B37042400000000",2011,73,"8",44522455,90154859,0
"2446","B37042500000000",2012,73,"7",45030950,89413226,0
"2447","B37042600000000",2011,73,"7",45052655,89594114,0
"2448","B37042700000000",2013,73,"9",45024633,89242556,0
"2449","B37042800000000",1947,73,"6",44412698,89155171,0
"2450","B37042900000000",1947,73,"6",44413739,89155165,0
"2451","B37043000000000",1938,73,"6",44424934,89154787,0
"2452","B37043100000000",1941,73,"7",44453964,89144026,0
"2453","B37043200000000",2012,73,"9",44501311,90001350,0
"2454","B37043300000000",2012,73,"7",44422038,90012767,0
"2455","B37043400000000",2012,73,"7",44591238,89310812,0
"2456","B37043500000000",2015,73,"8",45050508,89170587,0
"2457","B37043600000000",2013,73,"8",44591000,89392496,0
"2458","B37043800000000",2012,73,"8",44572730,89182634,0
"2459","B37043900000000",2013,73,"N",44563869,89481515,0
"2460","B37044300000000",2015,73,"8",44520291,89382054,0
"2461","B37044800000000",2012,73,"N",44434270,89365550,0
"2462","B37053800000000",1915,73,"7",44573476,89375724,0
"2463","B37054800000000",1932,73,"6",45020902,90042434,0
"2464","B37055000000000",1923,73,"6",45024594,89503971,0
"2465","B37055100000000",1970,73,"N",45033312,89503992,0
"2466","B37074100000000",1942,73,"7",44422324,89402765,0
"2467","B37097100000000",1951,73,"7",44565600,89374498,0
"2468","B38000200000000",1952,75,"7",45032650,87450360,0
"2469","B38000500000000",1954,75,"7",45081400,88000820,0
"2470","B38000600000000",1955,75,"6",45024170,87373390,219
"2471","B38000800000000",1958,75,"N",45034230,87475930,0
"2472","B38000900000000",1960,75,"6",45212820,88131410,0
"2473","B38001000000000",1922,75,"6",45033300,87453890,0
"2474","B38001100000000",1965,75,"6",45452321,87551859,0
"2475","B38001400000000",1970,75,"N",45382980,87582916,0
"2476","B38001500000000",1970,75,"6",45385336,87575331,0
"2477","B38001600010000",1973,75,"6",45054362,87355454,605
"2478","B38001600020000",1973,75,"6",45054416,87355436,944
"2479","B38001600030000",1973,75,"7",45054566,87355388,1151
"2480","B38001600040000",1973,75,"6",45054644,87355364,944
"2481","B38001600050000",1973,75,"7",45054806,87355322,1110
"2482","B38001700000000",1967,75,"3",45193390,87394750,2278
"2483","B38001800000000",1997,75,"8",45362690,88065900,0
"2484","B38001900000000",1972,75,"6",45344580,87471730,0
"2485","B38002000000000",1975,75,"7",45374828,87593613,0
"2486","B38002100000000",1976,75,"4",45062334,87380816,4218
"2487","B38002200000000",1978,75,"6",45294440,87541990,0
"2488","B38002300000000",1981,75,"7",45323550,88002200,0
"2489","B38002400000000",1983,75,"7",45402240,87535420,0
"2490","B38002600000000",1986,75,"8",45133960,87573960,0
"2491","B38002700000000",1986,75,"7",45164100,88115330,0
"2492","B38002800000000",1935,75,"6",45240390,88110880,0
"2493","B38002900000000",1984,75,"6",45035690,88035530,0
"2494","B38003100000000",1986,75,"7",45173710,87561700,0
"2495","B38003200000000",1987,75,"7",45144180,87561240,0
"2496","B38003300000000",1987,75,"7",45372560,88095430,0
"2497","B38003400000000",1987,75,"N",45120433,87443417,0
"2498","B38003500000000",1989,75,"8",45175279,87593032,0
"2499","B38003600000000",1989,75,"7",45202283,87575891,0
"2500","B38003700000000",1989,75,"7",45171009,87592839,0
"2501","B38003800000000",1989,75,"7",45282630,87523170,0
"2502","B38003900000000",1996,75,"8",45260320,88211800,0
"2503","B38004000000000",1989,75,"6",45295990,88000010,0
"2504","B38004100000000",1989,75,"8",45074180,87591350,0
"2505","B38004200000000",1990,75,"7",45080540,87503500,0
"2506","B38004300000000",1990,75,"7",45132650,88051940,0
"2507","B38004400000000",1990,75,"8",45294270,88032160,0
"2508","B38004500000000",1991,75,"8",45063373,88045960,0
"2509","B38004600000000",1991,75,"7",45231180,87420470,0
"2510","B38004700000000",1990,75,"7",45275730,88200150,0
"2511","B38004800000000",1992,75,"7",45123151,87593996,0
"2512","B38004900000000",1993,75,"6",45381920,87583700,0
"2513","B38005000000000",1994,75,"6",45035340,87594470,0
"2514","B38005100000000",2002,75,"6",45304510,87480390,0
"2515","B38005200000000",1993,75,"8",45311220,88205620,0
"2516","B38005300000000",1992,75,"7",45222560,87552770,0
"2517","B38005400000000",1992,75,"8",45264990,87522500,0
"2518","B38005500000000",1992,75,"8",45201950,87573010,0
"2519","B38005700000000",1993,75,"7",45382340,87564900,0
"2520","B38005800000000",1994,75,"6",45035190,87591190,0
"2521","B38005900000000",1995,75,"7",45165720,88152520,0
"2522","B38006000000000",1995,75,"8",45301800,88035380,0
"2523","B38006100000000",1996,75,"8",45310420,88050960,0
"2524","B38006200000000",1995,75,"8",45340230,88063260,0
"2525","B38006300000000",1996,75,"8",45381140,88151220,0
"2526","B38006400000000",1995,75,"8",45340890,87504280,0
"2527","B38006500000000",1996,75,"6",45083670,87480120,0
"2528","B38006600000000",1993,75,"7",45025830,87491230,0
"2529","B38006800000000",1999,75,"8",45035570,87590100,0
"2530","B38006900000000",1995,75,"7",45160400,87593660,0
"2531","B38007000000000",1997,75,"7",45391559,88125066,0
"2532","B38007100000000",1995,75,"8",45372400,88020600,0
"2533","B38007200000000",1995,75,"7",45372195,88020369,0
"2534","B38007300000000",1993,75,"7",45053162,87355352,0
"2535","B38007400000000",1998,75,"7",45183620,88114110,0
"2536","B38007500000000",1997,75,"8",45075820,87571980,0
"2537","B38007600000000",1998,75,"8",45033230,87464370,0
"2538","B38007700000000",1998,75,"7",45072560,87534990,0
"2539","B38008000000000",1997,75,"8",45411200,88010960,0
"2540","B38008100000000",1997,75,"8",45381550,88114740,0
"2541","B38008200000000",1999,75,"7",45074800,88010000,0
"2542","B38008300000000",2006,75,"8",45294800,87590600,0
"2543","B38008400000000",1996,75,"8",45073940,88014180,0
"2544","B38008700000000",2001,75,"6",45135660,88004990,0
"2545","B38008900000000",2005,75,"7",45060600,87374800,0
"2546","B38009000000000",2005,75,"8",45061200,87373600,0
"2547","B38009100000000",2005,75,"8",45033210,88024962,0
"2548","B38009200000000",2005,75,"8",45040008,88025892,0
"2549","B38009300000000",2005,75,"8",45040008,88030036,0
"2550","B38009400000000",2005,75,"8",45053924,88025669,0
"2551","B38009500000000",2005,75,"8",45064860,88020108,0
"2552","B38009600000000",2005,75,"9",45043894,88025219,0
"2553","B38009700000000",2005,75,"8",45043894,88025340,0
"2554","B38009800000000",2003,75,"7",45043862,88020042,0
"2555","B38010000000000",2004,75,"8",45393490,87001760,0
"2556","B38010100000000",2009,75,"8",45030294,87462406,0
"2557","B38010200000000",2009,75,"8",45023684,87453444,0
"2558","B38010300000000",2009,75,"8",45023624,87453030,0
"2559","B38010400000000",2008,75,"8",45022304,87445040,0
"2560","B38010500000000",2009,75,"8",45022130,87443576,0
"2561","B38010600000000",2009,75,"8",45022322,87442910,0
"2562","B38010700000000",2009,75,"8",45022778,87440738,0
"2563","B38010800000000",2009,75,"8",45022928,87440732,0
"2564","B38010900000000",2009,75,"8",45031020,87431824,0
"2565","B38011000000000",2009,75,"8",45031212,87431812,0
"2566","B38011100000000",2009,75,"8",45031968,87430768,0
"2567","B38011200000000",2009,75,"8",45032076,87430858,0
"2568","B38011300000000",2009,75,"8",45033384,87424830,0
"2569","B38011400000000",2009,75,"8",45033564,87424686,0
"2570","B38013000000000",2008,75,"8",45062489,87543316,0
"2571","B38013100000000",2008,75,"8",45062277,87452027,0
"2572","B38013200000000",2008,75,"N",45014158,87494686,0
"2573","B38013300000000",2014,75,"8",45224638,87571691,0
"2574","B38013400000000",2012,75,"8",45031200,87445400,0
"2575","B38014000000000",2011,75,"8",45473477,88002223,0
"2576","B38014500000000",2014,75,"9",45045660,88021860,0
"2577","B38091000000000",1931,75,"6",45383721,88152703,0
"2578","B38091300000000",1920,75,"6",45071516,87533300,0
"2579","B39000400000000",1951,77,"6",43545684,89184378,0
"2580","B39000600000000",1959,77,"7",43384080,89281242,0
"2581","B39000900000000",1966,77,"5",43472701,89290155,0
"2582","B39001000000000",1966,77,"6",43490066,89285790,0
"2583","B39001100000000",1966,77,"7",43453415,89290452,0
"2584","B39001200000000",1966,77,"6",43384041,89280566,0
"2585","B39001300000000",1932,77,"5",43440880,89290920,287
"2586","B39001400000000",1975,77,"5",43454324,89272617,0
"2587","B39001500000000",1984,77,"7",43384035,89281023,0
"2588","B39001600000000",1984,77,"7",43385907,89281432,0
"2589","B39001700000000",1983,77,"7",43401684,89281099,0
"2590","B39001800000000",1983,77,"7",43401803,89281281,0
"2591","B39001900000000",1984,77,"7",43420339,89281577,0
"2592","B39002000000000",1984,77,"7",43420513,89281794,0
"2593","B39002100000000",1984,77,"7",43430656,89283697,0
"2594","B39002200000000",1984,77,"7",43430773,89283963,0
"2595","B39002300000000",1985,77,"N",43440680,89290361,0
"2596","B39002600000000",1986,77,"6",43472628,89285902,0
"2597","B39002700000000",1986,77,"7",43485963,89285588,0
"2598","B39002800000000",1987,77,"7",43510078,89285866,0
"2599","B39002900000000",1987,77,"7",43521915,89285894,0
"2600","B39003000000000",1987,77,"7",43530700,89285826,0
"2601","B39003100000000",1987,77,"7",43530874,89285999,0
"2602","B39003200000000",1987,77,"7",43560157,89285472,0
"2603","B39003300000000",1987,77,"7",43560277,89290233,0
"2604","B39003400000000",1987,77,"7",43572846,89290611,0
"2605","B39003600000000",1987,77,"7",43585390,89294581,0
"2606","B39003700000000",1981,77,"N",43390999,89350971,0
"2607","B39003800000000",1982,77,"6",43574877,89130307,0
"2608","B39003900000000",1982,77,"7",43541001,89244637,0
"2609","B39004000000000",1987,77,"7",43572905,89290846,0
"2610","B39004100000000",1984,77,"7",43464602,89343482,0
"2611","B39004200000000",1984,77,"6",43565939,89111882,0
"2612","B39004300000000",1987,77,"5",43473554,89194382,0
"2613","B39004400000000",1986,77,"7",43454950,89342550,0
"2614","B39004500000000",1989,77,"7",43435701,89334139,0
"2615","B39004600000000",1989,77,"7",43511539,89143104,0
"2616","B39004700000000",1989,77,"7",43574812,89130684,0
"2617","B39004800000000",1990,77,"8",43523303,89241792,0
"2618","B39004900000000",1997,77,"7",43470676,89193316,0
"2619","B39005000000000",1997,77,"6",43471033,89193352,0
"2620","B39005100000000",1997,77,"7",43471398,89193391,0
"2621","B39005200000000",1999,77,"8",43575311,89205050,0
"2622","B39005300000000",2001,77,"N",43523442,89241168,0
"2623","B39005400000000",1999,77,"8",43532840,89151339,0
"2624","B39005500000000",1999,77,"8",43491606,89215510,0
"2625","B39005600000000",1998,77,"8",43500687,89232902,0
"2626","B39005700000000",2000,77,"6",43400820,89332383,0
"2627","B39005800000000",2001,77,"8",43525153,89323633,0
"2628","B39005900000000",2000,77,"7",43504288,89135358,0
"2629","B39006000000000",2000,77,"8",43570293,89204993,0
"2630","B39006100000000",2000,77,"8",43485457,89122132,0
"2631","B39006200000000",2002,77,"6",43425013,89184226,0
"2632","B39006300000000",2002,77,"8",43551660,89293400,0
"2633","B39006400000000",2004,77,"8",43572190,89293680,0
"2634","B39006500000000",2004,77,"7",43420384,89330698,0
"2635","B39006600000000",2004,77,"8",43545700,89185490,0
"2636","B39006700000000",2002,77,"8",43581674,89142860,0
"2637","B39006800000000",2004,77,"8",43525982,89294257,0
"2638","B39006900000000",2003,77,"6",43465344,89343549,0
"2639","B39007000000000",2004,77,"8",43520782,89134053,0
"2640","B39007100000000",2007,77,"8",43585280,89274430,0
"2641","B39007200000000",2008,77,"8",43473150,89274640,0
"2642","B39007300000000",2007,77,"8",43570790,89223030,0
"2643","B39007400000000",2014,77,"8",43443543,89251147,0
"2644","B39007500000000",2012,77,"9",43572050,89232570,0
"2645","B39020300000000",1936,77,"7",43495094,89130423,337
"2646","B39097000000000",1948,77,"6",43473110,89194048,0
"2647","B39097700000000",1929,77,"6",43531710,89293899,195
"2648","B40000500000000",1998,79,"6",43030051,88151337,0
"2649","B40000700000000",1928,79,"N",42573335,87544113,0
"2650","B40000900000000",1955,79,"8",43021482,87581547,1078
"2651","B40001000000000",2003,79,"7",43061044,87550033,0
"2652","B40001100000000",1955,79,"5",42545560,87533340,0
"2653","B40001200000000",1998,79,"N",42554820,87532390,0
"2654","B40001300000000",2000,79,"6",42573316,88022441,0
"2655","B40001400000000",1999,79,"7",43030530,87570830,0
"2656","B40001500000000",1961,79,"6",43015620,87572810,962
"2657","B40001700000000",2002,79,"7",42594850,87544483,0
"2658","B40001800000000",1936,79,"4",42525311,87533262,303
"2659","B40001900000000",2001,79,"N",42522763,87540994,0
"2660","B40002000000000",1955,79,"6",42545590,87532430,0
"2661","B40002100000000",1955,79,"6",42545530,87532430,0
"2662","B40002200000000",2001,79,"N",42541950,87525360,0
"2663","B40002300000000",1956,79,"N",43100170,87545660,0
"2664","B40002600000000",1999,79,"7",42545510,87512690,0
"2665","B40002800000000",1957,79,"7",43070747,87560510,0
"2666","B40002900000000",1957,79,"7",43033600,87530000,0
"2667","B40003100000000",1999,79,"7",42554963,88013658,0
"2668","B40003200000000",1999,79,"N",42512888,88003785,0
"2669","B40003300000000",1956,79,"7",43015530,87571610,0
"2670","B40003400000000",1957,79,"7",43020680,87564163,949
"2671","B40003500000000",1962,79,"7",43075522,87570869,0
"2672","B40003700000000",1958,79,"6",43020000,87582400,0
"2673","B40003800000000",1958,79,"7",43015586,87582604,368
"2674","B40003900000000",1959,79,"7",43015773,87581780,2103
